band_gap,sample,crystal_size,ssa,a,c,base,primary_dopant,secondary_dopant,primary_conc,secondary_conc,base_conc,crystal_system,reference
3.274,"Ga-doped ZnO, 0 kGy irradiation dose",278.3,,2.603,5.203,Zn,Ga,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000040
3.275,2 wt% Al-doped ZnO,204,,3.24372,5.18992,Zn,Al,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000041
3.277,Undoped ZnO,124.1,,3.24064,5.18502,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000042
3.279,Undoped ZnO,160.1,,3.26815,5.22904,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000043
3.28,Undoped ZnO,202.9,,3.23248,5.17197,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000044
3.28,0.25 at% Sm-doped ZnO,261,,3.2342,5.1741,Zn,Sm,,0.25,0,99.75,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000045
3.28,ZnO: Ag 1%,899.2,,3.2428,5.1888,Zn,Ag,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000046
3.28,5% Li-doped ZnO: 2% Sn,147,,3.264,5.219,Zn,Li,Sn,5,2,93,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000047
3.283,3.5 wt% Al-doped ZnO,244.9,,3.24064,5.18503,Zn,Al,,3.5,0,96.5,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000048
3.29,7% Li-doped ZnO: 2% Sn,139,,3.253,5.215,Zn,Li,Sn,7,2,91,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000049
3.29,Undoped ZnO,84.3,,3.2573,5.2137,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000050
3.296,2.25 wt% Al-doped ZnO,214.4,,3.24349,5.18956,Zn,Al,,2.25,0,97.75,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000051
3.3,2 wt% Mg-doped ZnO,170.5,,3.282,5.134,Zn,Mg,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000052
3.305,3 wt% Al-doped ZnO,332.8,,3.24337,5.18939,Zn,Al,,3,0,97,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000053
3.311,2.5 wt% Al-doped ZnO,260.5,,3.24337,5.18937,Zn,Al,,2.5,0,97.5,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000054
3.32,4 wt% Mg-doped ZnO,259.5,,3.291,5.143,Zn,Mg,,4,0,96,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000055
3.325,2.75 wt% Al-doped ZnO,297.2,,3.23792,5.18067,Zn,Al,,2.75,0,97.25,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000056
3.33,6 wt% Mg-doped ZnO,359.3,,3.276,5.148,Zn,Mg,,6,0,94,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000057
3.39,8 wt% Mg-doped ZnO,56.7,,3.272,5.131,Zn,Mg,,8,0,92,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000058
3.4,0.50 at% Sm-doped ZnO,196,,3.2365,5.1766,Zn,Sm,,0.5,0,99.5,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000059
3.41,1.00 at% Sm-doped ZnO,198,,3.2327,5.183,Zn,Sm,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000060
3.43,0.75 at% Sm-doped ZnO,210,,3.2382,5.1802,Zn,Sm,,0.75,0,99.25,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000061
3.47,Undoped ZnO,200,,3.219,5.166,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000062
3.54,ZnO/ZnO: Al/glass,390,,3.069,5.202,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000063
3.76,7% Cu-doped ZnO at 700 C,87.5,,3.245,5.198,Zn,Cu,,7,0,93,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000064
